sport,num_medalhas_registradas
Athletics,145
Swimming,105
3x3 Basketball,72
Beach Volleyball,72
Basketball,72
Handball,72
Rugby Sevens,72
Surfing,72
Trampoline Gymnastics,72
Football,72
Hockey,72
Cycling BMX Racing,72
Water Polo,72
Volleyball,72
Wrestling,72
Judo,63
Artistic Gymnastics,55
Boxing,52
Shooting,45
Table Tennis,45
Archery,43
Rowing,42
Badminton,39
Tennis,39
Cycling Track,36
Fencing,36
Taekwondo,32
Canoe Sprint,31
Sailing,30
Weightlifting,30
Diving,24
Triathlon,21
Canoe Slalom,18
Skateboarding,18
Equestrian,18
Modern Pentathlon,18
Cycling BMX Freestyle,12
Cycling Road,12
Sport Climbing,12
Breaking,6
Artistic Swimming,6
Rhythmic Gymnastics,6
Marathon Swimming,6
Golf,6
Cycling Mountain Bike,6
